"Botanical.Name","ht.max","dbh","cw"
"Carya cordiformis",36.18,63.9803004336655,NA
"Nyssa sylvatica",34.32,64.6169203384781,NA
"Nyssa sylvatica",35.05,71.3014293390103,NA
"Quercus pagoda",37.52,NA,NA
"Quercus pagoda",38.19,109.816933580172,NA
"Ostrya virginiana",20.45,19.4169070967841,NA
"Pinus taeda",39.78,87.2169269593251,NA
"Pinus taeda",40.08,87.2169269593251,NA
"Pinus taeda",40.29,90.400026483388,NA
"Pinus taeda",40.33,88.8084767213566,NA
"Pinus taeda",41.3,109.816933580172,NA
"Asimina triloba",14.11,10.5042284294078,NA
"Carya glabra",37,89.7634065785754,NA
"Sassafras albidum",25.76,38.8338141935681,NA
"Quercus shumardii",36.18,115.546512723485,NA
"Quercus shumardii",40.29,91.3549563406069,NA
"Acer floridanum",27.89,NA,NA
"Quercus michauxii",37.09,74.4845288630732,NA
"Quercus michauxii",37.83,125.414121248081,NA
"Liquidambar styraciflua",40.11,96.1296056267014,NA
"Liriodendron tulipifera",36.73,67.800019862541,NA
"Liriodendron tulipifera",37.31,51.8845222422262,NA
"Quercus nigra",36.55,87.2169269593251,NA
"Quercus nigra",36.76,73.5295990058544,NA
"Quercus nigra",36.79,91.3549563406069,NA
"Quercus nigra",36.94,81.805657768418,NA
"Quercus nigra",38.04,101.859184770015,NA
"Fraxinus americana",34.63,58.8873411951647,NA
"Ulmus alata",30.78,44.5633933368814,NA
"Ulmus alata",34.35,78.3042482919488,NA
"Pinus taeda",35.6,106.633834056109,NA
"Pinus taeda",35.63,141.647928820802,NA
"Pinus taeda",37.25,108.225383818141,NA
"Pinus taeda",38.65,101.859184770015,NA
"Pinus taeda",42.15,103.450734532046,NA
"Quercus stellata",27.86,81.805657768418,NA
"Quercus stellata",30.39,81.805657768418,NA
"Pinus echinata",34.35,78.3042482919488,NA
"Pinus echinata",36.91,83.3972075304495,NA
"Pinus echinata",37.86,63.9803004336655,NA
"Pinus echinata",39.5,74.4845288630732,NA
"Pinus echinata",41.48,91.3549563406069,NA
"Quercus falcata",31.33,97.7211553887328,NA
"Liquidambar styraciflua",30.14,81.805657768418,NA
"Liquidambar styraciflua",36.79,76.7126985299173,NA
"Quercus nigra",31.18,71.9380492438229,NA
"Quercus alba",30.69,92.9465061026384,NA
"Quercus alba",31.97,81.805657768418,NA
"Quercus alba",32.46,74.4845288630732,NA
"Quercus alba",33.28,114.909892818673,NA
"Quercus alba",33.53,92.9465061026384,NA
"Ulmus alata",27.55,46.7915630037255,NA
"Hamamelis virginiana",8.75,9.86760852459517,NA
"Styrax grandifolius",4.27,7.00281895293851,NA
"Styrax grandifolius",8.08,5.41126919090703,NA
"Amelanchier arborea",11.31,12.7323980962518,NA
"Ilex opaca",22.46,46.7915630037255,NA
"Taxodium distichum",36.45,NA,NA
"Nyssa sylvatica",34.29,67.1633999577284,NA
"Nyssa sylvatica",36.42,109.180313675359,NA
"Nyssa sylvatica",36.82,93.9014359598573,NA
"Fraxinus caroliniana",14.81,16.2338075727211,NA
"Quercus pagoda",40.17,130.825390438988,NA
"Zanthoxylum clava-herculis",12.98,14.6422578106896,NA
"Pinus taeda",40.54,88.8084767213566,NA
"Quercus lyrata",39.01,92.3098861978258,NA
"Carya glabra",38.16,57.2957914331333,NA
"Carya glabra",38.28,84.0338274352621,NA
"Carya ovata",36.7,63.9803004336655,NA
"Carya ovata",37.73,67.800019862541,NA
"Quercus michauxii",37.76,139.738069106364,NA
"Quercus michauxii",38.28,135.918349677488,NA
"Quercus michauxii",38.92,120.32116200958,NA
"Quercus michauxii",39.14,112.363413199422,NA
"Quercus michauxii",40.26,105.997214151297,NA
"Liquidambar styraciflua",40.2,118.729612247548,NA
"Liquidambar styraciflua",40.54,86.5803070545125,NA
"Liquidambar styraciflua",41.51,94.5380558646699,NA
"Liquidambar styraciflua",41.79,105.042284294078,NA
"Liquidambar styraciflua",41.94,78.3042482919488,NA
"Quercus nigra",36.36,72.8929791010418,NA
"Quercus alba",34.32,119.684542104767,NA
"Quercus alba",36.33,94.5380558646699,NA
"Quercus alba",36.7,118.729612247548,NA
"Quercus alba",37.16,99.3127051507643,NA
"Quercus alba",37.4,84.988757292481,NA
"Quercus phellos",39.04,109.816933580172,NA
"Quercus phellos",39.87,102.814114627234,NA
"Fagus grandifolia",21.79,73.8479089582606,NA
"Pinus taeda",32.92,71.3014293390103,NA
"Pinus taeda",35.2,68.7549497197599,NA
"Pinus taeda",35.81,65.571850195697,NA
"Pinus echinata",30.33,51.5662122898199,NA
"Pinus echinata",35.36,53.4760720042577,NA
"Pinus echinata",37.19,50.9295923850073,NA
"Quercus falcata",32.77,102.814114627234,NA
"Salix nigra",32.1,90.400026483388,NA
"Salix nigra",35.27,56.6591715283207,NA
"Salix nigra",35.97,59.8422710523836,NA
"Salix nigra",36.21,56.6591715283207,NA
"Salix nigra",36.21,64.6169203384781,NA
"Salix nigra",36.42,57.2957914331333,NA
"Salix nigra",36.97,70.3464994817914,NA
"Salix nigra",38.28,NA,NA
"Populus deltoides",43.53,131.780320296206,NA
"Populus deltoides",43.89,106.633834056109,NA
"Populus deltoides",44.41,NA,NA
"Cercis canadensis",12.34,26.7380360021289,NA
"Forestiera acuminata",12.62,23.5549364780659,NA
"Forestiera acuminata",12.95,34.0591649074737,NA
"Forestiera acuminata",13.32,16.8704274775337,NA
"Forestiera acuminata",13.5,12.0957781914392,NA
"Forestiera acuminata",14.3,20.3718369540029,NA
"Forestiera acuminata",14.48,20.3718369540029,NA
"Forestiera acuminata",15.12,34.0591649074737,NA
"Forestiera acuminata",15.15,33.1042350502548,NA
"Forestiera acuminata",15.61,23.5549364780659,NA
"Forestiera acuminata",17.07,16.8704274775337,NA
"Fraxinus pennsylvanica",29.87,111.72679329461,NA
"Sideroxylon lanuginosum",13.44,20.3718369540029,NA
"Cornus drummondii",10.45,10.5042284294078,NA
"Salix interior",1.25,13.0507080486581,NA
"Salix interior",13.23,32.4676151454422,NA
"Salix interior",16.12,13.6873279534707,NA
"Celtis laevigata var. laevigata",29.72,114.909892818673,NA
"Pinus taeda",39.87,81.805657768418,NA
"Pinus taeda",40.17,71.3014293390103,NA
"Pinus taeda",41.97,86.5803070545125,NA
"Carya glabra",37,56.6591715283207,NA
"Carya glabra",37.09,65.571850195697,NA
"Quercus stellata",32.16,59.8422710523836,NA
"Quercus stellata",32.67,56.6591715283207,NA
"Quercus stellata",32.95,62.388750671634,NA
"Pinus echinata",35.48,77.6676283871362,NA
"Pinus echinata",36.18,81.805657768418,NA
"Pinus echinata",39.38,65.571850195697,NA
"Pinus echinata",40.23,61.4338208144151,NA
"Quercus falcata",33.38,104.405664389265,NA
"Quercus falcata",35.87,79.2591781491677,NA
