  Scientific Name  	 AGCP	 AW	 CB	 EMP	 GP	 HI	 MW	 NCNE	 WMVC	 AK
  Spiranthes delitescens  	   	 OBL	   	   	   	   	   	   	   	   
  Spiranthes diluvialis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Spiranthes eatonii  	 FACU	   	   	 FACU	   	   	   	   	   	   
  Spiranthes floridana  	 FACW	   	   	 FAC	   	   	   	   	   	   
  Spiranthes infernalis  	   	 FACW	   	   	   	   	   	   	   	   
  Spiranthes lacera  	 FAC	   	   	 FACU	 FAC	   	 FAC	 FAC	   	   
  Spiranthes laciniata  	 FACW	   	   	 OBL	 OBL	   	   	 OBL	   	   
  Spiranthes longilabris  	 FACW	   	   	 OBL	   	   	   	   	   	   
  Spiranthes lucida  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Spiranthes magnicamporum  	 FACU	 FAC	   	 FACU	 FAC	   	 FAC	 FACU	 FAC	   
  Spiranthes odorata  	 OBL	   	   	 OBL	 OBL	   	   	 OBL	   	   
  Spiranthes ovalis  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Spiranthes porrifolia  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Spiranthes praecox  	 FACW	   	   	 OBL	 FACW	   	   	 OBL	   	   
  Spiranthes romanzoffiana  	   	 FACW	   	 OBL	 OBL	   	 OBL	 OBL	 FACW	 OBL
  Spiranthes torta  	 FACU	   	 FAC	   	   	   	   	   	   	   
  Spiranthes tuberosa  	 FACU	   	   	 FACU	 UPL	   	 UPL	 UPL	   	   
  Spiranthes vernalis  	 FACW	   	   	 FAC	 FACW	   	 FAC	 FAC	   	   
  Spirodela polyrhiza  	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	   
  Sporobolus airoides  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Sporobolus cryptandrus  	 UPL	 FACU	   	 UPL	 FACU	   	 FACU	 FACU	 FACU	   
  Sporobolus curtissii  	 FACU	   	   	   	   	   	   	   	   	   
  Sporobolus diandrus  	 UPL	 UPL	   	   	 UPL	 FACU	   	   	   	   
  Sporobolus domingensis  	 FACU	   	 FAC	   	 FACU	   	   	   	   	   
  Sporobolus flexuosus  	 FAC	 FACU	   	   	 FAC	   	   	   	 UPL	   
  Sporobolus floridanus  	 FACW	   	   	 FAC	   	   	   	   	   	   
  Sporobolus giganteus  	 UPL	 FACU	   	   	 UPL	   	   	   	 UPL	   
  Sporobolus heterolepis  	 UPL	   	   	 UPL	 UPL	   	 FACU	 FACU	 FACU	   
  Sporobolus indicus  	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	   
  Sporobolus neglectus  	 UPL	 UPL	   	 FACU	 UPL	   	 UPL	 FACU	 UPL	   
  Sporobolus pinetorum  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Sporobolus pyramidatus  	 FAC	 FACU	 FAC	 UPL	 FAC	 FACU	 UPL	 UPL	 FACU	   
  Sporobolus teretifolius  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Sporobolus texanus  	 FAC	 FACW	   	 FACU	 FAC	   	 FAC	   	 FAC	   
  Sporobolus virginicus  	 FACW	   	 FACW	 FAC	 FACW	 FAC	   	   	   	   
  Sporobolus wrightii  	 FAC	 FAC	   	   	 FAC	   	   	   	 FACW	   
  Stachydeoma graveolens  	 FACW	   	   	   	   	   	   	   	   	   
  Stachys ajugoides  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Stachys albens  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Stachys appalachiana  	   	   	   	 OBL	   	   	   	   	   	   
  Stachys aspera  	 FAC	   	   	 FACW	   	   	 FACW	 FACW	   	   
  Stachys chamissonis  	   	 OBL	   	   	   	   	   	   	 FACW	 FACW
  Stachys clingmanii  	 UPL	   	   	 FAC	   	   	 FACU	 FACU	   	   
  Stachys coccinea  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Stachys cordata  	 FAC	   	   	 FAC	   	   	 FAC	 FAC	   	   
  Stachys crenata  	 FACU	 FAC	   	 FACU	 FAC	   	 FAC	   	 FAC	   
  Stachys eplingii  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Stachys floridana  	 FAC	 FAC	   	 FAC	 FAC	   	   	   	   	   
  Stachys hyssopifolia  	 OBL	   	   	 FACW	   	   	 FACW	 FACW	   	   
  Stachys latidens  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Stachys mexicana  	   	 FACW	   	   	   	   	   	   	 FACW	 FACU
  Stachys palustris  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	 FACW
  Stachys pilosa  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Stachys pycnantha  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Stachys rigida  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Stachys stricta  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Stachys tenuifolia  	 FACW	   	   	 FACW	 FACW	   	 OBL	 FACW	   	   
  Stachytarpheta australis  	   	   	   	   	   	 FAC	   	   	   	   
  Stachytarpheta cayennensis  	 FACU	   	 FACU	   	   	 FAC	   	   	   	   
  Stachytarpheta jamaicensis  	 FACU	   	 FACU	   	   	 FACU	   	   	   	   
  Stahlia monosperma  	   	   	 FACW	   	   	   	   	   	   	   
  Staphylea trifolia  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Steinchisma hians  	 OBL	 FACW	   	 FACW	 FACW	   	 FACW	   	   	   
  Steinchisma laxum  	 FACW	   	 FACW	   	   	   	   	   	   	   
  Stellaria alsine  	 OBL	 OBL	   	 OBL	   	   	 OBL	 OBL	 FAC	   
  Stellaria antillana  	   	   	 OBL	   	   	   	   	   	   	   
  Stellaria borealis  	 FACW	 FACW	   	 FACW	 FACW	   	 OBL	 FACW	 FACW	 FACW
  Stellaria calycantha  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Stellaria crassifolia  	   	 FACW	   	   	 OBL	   	 FACW	 FACW	 FACW	 FACW
  Stellaria crispa  	   	 FAC	   	   	 FACW	   	   	   	 FAC	 FAC
  Stellaria cuspidata  	 FAC	 FAC	   	 FAC	 FAC	   	   	   	 FAC	   
  Stellaria fontinalis  	   	   	   	 FACW	   	   	   	   	   	   
  Stellaria graminea  	 FAC	 FAC	   	 FACU	 FACU	   	 UPL	 UPL	 FACU	   
  Stellaria humifusa  	   	 OBL	   	   	   	   	   	 OBL	 OBL	 OBL
  Stellaria littoralis  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Stellaria longifolia  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	 FAC
  Stellaria longipes  	   	 FACW	   	   	 FACW	   	 OBL	 FAC	 FACW	 FAC
  Stellaria media  	 FACU	 FACU	   	 UPL	 FACU	 FACU	 FACU	 FACU	 FACU	 UPL
  Stellaria obtusa  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Stellaria palustris  	   	   	   	   	   	   	 FAC	 FAC	   	   
  Stellaria umbellata  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Stemodia durantifolia  	 FACW	 OBL	 FACW	   	   	   	   	   	 OBL	   
  Stemodia maritima  	   	   	 FACW	   	   	   	   	   	   	   
  Stenandrium dulce  	 OBL	   	   	 FACW	 FACW	   	   	   	   	   
  Stenandrium tuberosum  	   	   	 FACW	   	   	   	   	   	   	   
  Stenanthium densum  	 FACW	   	   	 OBL	 FACW	   	   	   	   	   
  Stenanthium gramineum  	 FAC	   	   	 FACW	 FAC	   	 FAC	 FAC	   	   
  Stenanthium leimanthoides  	 FACW	   	   	 OBL	 FACW	   	   	 OBL	   	   
  Stenogyne calaminthoides  	   	   	   	   	   	 FAC	   	   	   	   
  Stenogyne calycosa  	   	   	   	   	   	 FACU	   	   	   	   
  Stenogyne cranwelliae  	   	   	   	   	   	 FACW	   	   	   	   
  Stenogyne kamehamehae  	   	   	   	   	   	 FAC	   	   	   	   
  Stenogyne kealiae  	   	   	   	   	   	 FAC	   	   	   	   
  Stenogyne macrantha  	   	   	   	   	   	 FACU	   	   	   	   
  Stenogyne oxygona  	   	   	   	   	   	 FACU	   	   	   	   
  Stenogyne purpurea  	   	   	   	   	   	 FAC	   	   	   	   
  Stenogyne rotundifolia  	   	   	   	   	   	 FAC	   	   	   	   
  Stenogyne sessilis  	   	   	   	   	   	 FACU	   	   	   	   
  Stenotaphrum secundatum  	 FAC	 FAC	 FAC	 FAC	 FAC	 FACU	   	   	 FAC	   
  Stephanomeria fluminea  	   	   	   	   	   	   	   	   	 FACW	   
  Sticherus bifidus  	   	   	 OBL	   	   	   	   	   	   	   
  Sticherus brevipubis  	   	   	 FACU	   	   	   	   	   	   	   
  Sticherus owhyensis  	   	   	   	   	   	 FACU	   	   	   	   
  Stictocardia tiliifolia  	 FACU	   	 FACW	   	   	 FACU	   	   	   	   
  Stigmaphyllon bannisterioides  	   	   	 FACW	   	   	   	   	   	   	   
  Stillingia aquatica  	 OBL	   	   	   	   	   	   	   	   	   
  Stokesia laevis  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Streblus pendulinus  	   	   	   	   	   	 FACU	   	   	   	   
  Streptopus amplexifolius  	   	 FAC	   	 FAC	 FACW	   	 FAC	 FAC	 FAC	 FACU
  Streptopus lanceolatus  	   	 FAC	   	 FAC	 FAC	   	 FAC	 FACU	 FAC	 FACU
  Streptopus streptopoides  	   	   	   	   	   	   	   	   	 FACW	 FAC
  Strophostyles helvola  	 FAC	 FACU	   	 FACU	 FACU	   	 FAC	 FAC	 FAC	   
  Strophostyles umbellata  	 FAC	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Struchium sparganophorum  	   	   	 OBL	   	   	   	   	   	   	   
  Strumpfia maritima  	 FAC	   	 UPL	   	   	   	   	   	   	   
  Stuckenia X suecica  	   	   	   	   	   	   	 OBL	 OBL	   	   
  Stuckenia filiformis  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Stuckenia pectinata  	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL
  Stuckenia striata  	 OBL	 OBL	   	   	 OBL	   	   	   	 OBL	   
  Stuckenia vaginata  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Stylisma aquatica  	 FACW	   	   	 FACW	 FACW	   	   	   	   	   
  Stylisma pickeringii  	 FAC	   	   	 FAC	 FAC	   	 UPL	   	   	   
  Stylogyne lateriflora  	   	   	 OBL	   	   	   	   	   	   	   
  Stylosanthes guianensis  	   	   	 UPL	   	   	 UPL	   	   	   	   
  Styrax americanus  	 FACW	   	   	 OBL	 FACW	   	 OBL	 OBL	   	   
  Styrax grandifolius  	 FACU	   	   	 FACU	 FAC	   	 UPL	   	   	   
  Styrax platanifolius  	   	 FAC	   	   	 FAC	   	   	   	   	   
  Styrax portoricensis  	   	   	 FAC	   	   	   	   	   	   	   
  Suaeda calceoliformis  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Suaeda californica  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Suaeda conferta  	 OBL	   	   	   	 OBL	   	   	   	   	   
  Suaeda esteroa  	   	 FACW	   	   	   	   	   	   	   	   
  Suaeda linearis  	 OBL	   	   	 OBL	 OBL	   	   	 OBL	   	   
  Suaeda maritima  	 OBL	   	   	 OBL	   	   	   	 OBL	 FACW	 FAC
  Suaeda mexicana  	   	 FACW	   	   	   	   	   	   	   	   
  Suaeda nigra  	 OBL	 OBL	 FACW	   	 OBL	   	   	   	 OBL	   
  Suaeda occidentalis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Suaeda taxifolia  	   	 FACW	   	   	   	   	   	   	   	   
  Subularia aquatica  	   	 OBL	   	   	 OBL	   	   	 OBL	 OBL	 OBL
  Succisella inflexa  	   	   	   	 FACW	   	   	   	 FACW	   	   
  Suckleya suckleyana  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Suksdorfia violacea  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Sullivantia hapemanii  	   	 FACW	   	   	 FACW	   	   	   	 OBL	   
  Suriana maritima  	 FAC	   	 FACU	   	   	   	   	   	   	   
  Swertia perennis  	   	 FACW	   	   	 FAC	   	   	   	 FACW	 FACW
  Swietenia macrophylla  	   	   	 FACU	   	   	 FACU	   	   	   	   
  Swietenia mahagoni  	 UPL	   	 UPL	   	   	 FACU	   	   	   	   
  Symphoricarpos albus  	 FACU	 FACU	   	 FACU	 UPL	   	 FACU	 FACU	 FACU	 FACU
  Symphoricarpos mollis  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Symphoricarpos occidentalis  	 FAC	 FAC	   	 UPL	 UPL	   	 UPL	 FACU	 FAC	   
  Symphoricarpos orbiculatus  	 FACU	 UPL	   	 FACU	 FACU	   	 FACU	 FACU	 UPL	   
  Symphyotrichum adnatum  	 FACW	   	   	   	   	   	   	   	   	   
  Symphyotrichum ascendens  	   	 FAC	   	   	 FACU	   	   	   	 FACU	   
  Symphyotrichum bahamense  	 OBL	 OBL	   	 OBL	   	   	   	   	   	   
  Symphyotrichum boreale  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Symphyotrichum bracteolatum  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Symphyotrichum chapmanii  	 OBL	   	   	   	   	   	   	   	   	   
  Symphyotrichum chilense  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Symphyotrichum ciliatum  	   	 FACW	   	 FAC	 FACW	   	 FAC	 FAC	 FACW	 FACU
  Symphyotrichum defoliatum  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Symphyotrichum divaricatum  	 OBL	 OBL	 FACW	 OBL	 OBL	   	 OBL	   	 OBL	   
  Symphyotrichum dumosum  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Symphyotrichum elliottii  	 OBL	   	   	 OBL	   	   	   	   	   	   
  Symphyotrichum ericoides  	 UPL	 FAC	   	 FACU	 FACU	   	 FACU	 FACU	 FAC	   
  Symphyotrichum eulae  	 FAC	   	   	   	 FAC	   	   	   	   	   
  Symphyotrichum expansum  	 OBL	 OBL	 FACW	 OBL	 OBL	 FAC	 OBL	   	 OBL	   
  Symphyotrichum falcatum  	 FAC	 FACU	   	 FAC	 FACU	   	 FAC	 FAC	 FACU	 FACU
  Symphyotrichum foliaceum  	   	 UPL	   	   	 UPL	   	   	   	 FACU	 UPL
  Symphyotrichum frondosum  	   	 FACW	   	   	 FACW	   	   	 FACW	 FACW	   
  Symphyotrichum kralii  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Symphyotrichum laeve  	 UPL	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Symphyotrichum lanceolatum  	 FACW	 OBL	   	 FACW	 FACW	   	 FAC	 FACW	 OBL	   
  Symphyotrichum lateriflorum  	 FAC	   	   	 FACW	 FACW	   	 FACW	 FAC	   	   
  Symphyotrichum lentum  	   	 OBL	   	   	   	   	   	   	   	   
  Symphyotrichum novae-angliae  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Symphyotrichum novi-belgii  	 OBL	   	   	 FACW	   	   	   	 FACW	   	   
  Symphyotrichum ontarionis  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Symphyotrichum pilosum  	 FAC	 FACU	   	 FAC	 FACU	   	 FACU	 FACU	 FACU	   
  Symphyotrichum porteri  	   	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Symphyotrichum praealtum  	 FACW	 OBL	   	 FACW	 FACW	   	 FACW	 FACW	 OBL	   
  Symphyotrichum prenanthoides  	 FAC	   	   	 FAC	   	   	 FAC	 FAC	   	   
  Symphyotrichum priceae  	   	   	   	 FACU	   	   	   	   	   	   
  Symphyotrichum puniceum  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Symphyotrichum racemosum  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Symphyotrichum robynsianum  	   	   	   	   	 FACW	   	 FACW	 FACW	   	   
  Symphyotrichum spathulatum  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Symphyotrichum squamatum  	 OBL	 OBL	   	 OBL	 OBL	   	   	   	 OBL	   
  Symphyotrichum subspicatum  	   	 FACW	   	   	 FAC	   	   	   	 FACW	 FAC
  Symphyotrichum subulatum  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 FACW	   	   
  Symphyotrichum tenuifolium  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Symphyotrichum tradescantii  	   	   	   	 FACW	   	   	   	 FACW	   	   
  Symphyotrichum walteri  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Symphyotrichum yukonense  	   	   	   	   	   	   	   	   	   	 FACW
  Symphysia racemosa  	   	   	 FACW	   	   	   	   	   	   	   
  Symphytum asperum  	   	 FAC	   	 UPL	   	   	 UPL	 UPL	 FAC	 UPL
  Symplocarpus foetidus  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Symplocos tinctoria  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Synandra hispidula  	 FACU	   	   	 FAC	   	   	 FAC	   	   	   
  Synedrella nodiflora  	 FAC	   	 UPL	   	   	 FAC	   	   	   	   
  Syngonanthus flavidulus  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Syngonium angustatum  	   	   	   	   	   	 FAC	   	   	   	   
  Synthyris ranunculina  	   	 OBL	   	   	   	   	   	   	   	   
  Syringodium filiforme  	 OBL	   	 OBL	   	 OBL	   	   	   	   	   
  Syzygium cumini  	 UPL	   	   	   	   	 FAC	   	   	   	   
  Syzygium grande  	   	   	 UPL	   	   	 FACU	   	   	   	   
  Syzygium jambos  	 FACU	   	 FAC	   	   	 FAC	   	   	   	   
  Syzygium malaccense  	   	   	 UPL	   	   	 FACU	   	   	   	   
  Syzygium sandwicense  	   	   	   	   	   	 FACU	   	   	   	   
  Tabebuia rigida  	   	   	 FAC	   	   	   	   	   	   	   
  Tabebuia schumanniana  	   	   	 FACW	   	   	   	   	   	   	   
  Tacca leontopetaloides  	   	   	   	   	   	 FAC	   	   	   	   
  Tagetes lucida  	 FACU	   	   	   	   	   	   	   	   	   
  Talipariti tiliaceum  	 FACU	   	 FACW	   	   	 FACW	   	   	   	   
  Tamarix aphylla  	 FACW	 FAC	 FACW	   	 FACW	 FACU	   	   	 FAC	   
  Tamarix chinensis  	 FACW	 FAC	   	 FACW	 FACW	   	 FACW	 FAC	 FAC	   
  Tamarix gallica  	 FACW	 FAC	 FAC	 FAC	 FACW	   	   	   	 FAC	   
  Tamarix parviflora  	 FACW	 FAC	 FACW	 FAC	 FACW	   	 FAC	 FAC	 FAC	   
  Tanacetum vulgare  	 UPL	 FACU	   	 UPL	 FACU	 UPL	 UPL	 FACU	 FACU	 UPL
  Taraxacum californicum  	   	 FACW	   	   	   	   	   	   	   	   
  Taraxacum ceratophorum  	   	 UPL	   	   	 UPL	   	   	 FAC	 FACU	 UPL
  Taraxacum officinale  	 FACU	 FACU	 FAC	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU
  Taraxia breviflora  	   	 FAC	   	   	 FACU	   	   	   	 FAC	   
  Taraxia subacaulis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Taraxia tanacetifolia  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Tarenaya hassleriana  	 FACU	 FACU	 FAC	 FACU	 FAC	 FAC	 FACU	 FACU	   	   
  Tarenaya spinosa  	 FACU	   	 FAC	   	   	   	   	   	   	   
  Tarenna sambucina  	   	   	   	   	   	 FAC	   	   	   	   
  Tauschia tenuissima  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Tauschia texana  	 FACW	   	   	   	 FACW	   	   	   	   	   
  Taxodium ascendens  	 OBL	   	   	 OBL	   	   	   	   	   	   
  Taxodium distichum  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Taxus brevifolia  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Taxus canadensis  	 FAC	   	   	 FAC	 FAC	   	 FACU	 FACU	   	   
  Tecoma stans  	 UPL	 UPL	 UPL	   	 UPL	 FACU	   	   	 UPL	   
  Tectaria X amesiana  	 OBL	   	   	   	   	   	   	   	   	   
  Tectaria coriandrifolia  	 OBL	   	   	   	   	   	   	   	   	   
  Tectaria crenata  	   	   	   	   	   	 FACU	   	   	   	   
  Tectaria fimbriata  	 FACW	   	 FACW	   	   	   	   	   	   	   
  Tectaria heracleifolia  	 FACU	   	 UPL	   	 FACU	   	   	   	   	   
  Tectaria incisa  	 FACW	   	 FACW	   	   	 FACU	   	   	   	   
  Tectaria plantaginea  	   	   	 OBL	   	   	   	   	   	   	   
  Tectaria trifoliata  	   	   	 FAC	   	   	   	   	   	   	   
  Tectona grandis  	   	   	 UPL	   	   	 UPL	   	   	   	   
  Teliostachya alopecuroidea  	   	   	 FACU	   	   	   	   	   	   	   
  Tellima grandiflora  	   	 FACU	   	   	   	   	   	   	 FACU	 FACU
  Tephroseris atropurpurea  	   	   	   	   	   	   	   	   	   	 FAC
  Tephroseris frigida  	   	   	   	   	   	   	   	   	   	 FAC
  Tephroseris palustris  	   	   	   	   	 FACW	   	 FACW	 FACW	   	 FACW
  Tephrosia hispidula  	 FACU	   	   	 FACU	   	   	   	   	   	   
  Teramnus labialis  	   	   	   	   	   	 FAC	   	   	   	   
  Terminalia catappa  	 UPL	   	 FACU	   	   	 FAC	   	   	   	   
  Terminalia samoensis  	   	   	   	   	   	 FAC	   	   	   	   
  Ternstroemia albopunctata  	   	   	 FAC	   	   	   	   	   	   	   
  Ternstroemia heptasepala  	   	   	 OBL	   	   	   	   	   	   	   
  Ternstroemia luquillensis  	   	   	 OBL	   	   	   	   	   	   	   
  Ternstroemia peduncularis  	   	   	 FACW	   	   	   	   	   	   	   
  Ternstroemia stahlii  	   	   	 FACU	   	   	   	   	   	   	   
  Ternstroemia subsessilis  	   	   	 FAC	   	   	   	   	   	   	   
  Tetragastris balsamifera  	   	   	 FACU	   	   	   	   	   	   	   
  Tetraplasandra gymnocarpa  	   	   	   	   	   	 FACU	   	   	   	   
  Tetraplasandra hawaiensis  	   	   	   	   	   	 FACU	   	   	   	   
  Tetraplasandra kavaiensis  	   	   	   	   	   	 FACU	   	   	   	   
  Tetraplasandra oahuensis  	   	   	   	   	   	 FACU	   	   	   	   
  Tetraplasandra waialealae  	   	   	   	   	   	 FAC	   	   	   	   
  Tetraplasandra waimeae  	   	   	   	   	   	 FAC	   	   	   	   
  Tetrazygia bicolor  	 FAC	   	   	   	   	 FACU	   	   	   	   
  Tetrazygia biflora  	   	   	 FAC	   	   	   	   	   	   	   
  Tetrazygia crotonifolia  	   	   	 FACU	   	   	   	   	   	   	   
  Tetrazygia urbanii  	   	   	 FAC	   	   	   	   	   	   	   
  Teucrium canadense  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FAC	   
  Teucrium chamaedrys  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Teucrium cubense  	 FACW	 FACW	   	   	 FAC	   	   	   	 FACW	   
  Thalassia testudinum  	 OBL	   	 OBL	   	 OBL	   	   	   	   	   
  Thalia dealbata  	 OBL	   	   	 OBL	 OBL	   	 OBL	   	   	   
  Thalia geniculata  	 OBL	   	 OBL	 OBL	   	   	   	   	   	   
  Thalictrum alpinum  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FAC
  Thalictrum clavatum  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Thalictrum cooleyi  	 FACW	   	   	   	   	   	   	   	   	   
  Thalictrum coriaceum  	 FACU	   	   	 FACU	   	   	   	   	   	   
  Thalictrum dasycarpum  	 FAC	 FACW	   	 FACW	 FAC	   	 FACW	 FACW	 FACW	   
  Thalictrum debile  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Thalictrum dioicum  	 FAC	   	   	 FAC	 FACW	   	 FACU	 FACU	 FACW	   
  Thalictrum fendleri  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Thalictrum macrostylum  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Thalictrum mirabile  	 OBL	   	   	 FAC	   	   	   	   	   	   
  Thalictrum occidentale  	   	 FACU	   	   	   	   	   	   	 FACU	 FACU
  Thalictrum pubescens  	 FACW	   	   	 FACW	   	   	 FAC	 FACW	   	   
  Thalictrum revolutum  	 FAC	 FACU	   	 FAC	 FACW	   	 FAC	 FAC	 FACW	   
  Thalictrum sparsiflorum  	   	 FAC	   	   	   	   	   	   	 FAC	 FACU
  Thalictrum thalictroides  	 FACU	   	   	 FACU	 FAC	   	 FACU	 FACU	   	   
  Thalictrum venulosum  	   	 FACU	   	   	 FAC	   	 FAC	 FACW	 FAC	   
  Thaspium barbinode  	 UPL	   	   	 FACU	 FAC	   	 FACU	 UPL	   	   
  Thelypodium brachycarpum  	   	 UPL	   	   	   	   	   	   	 FACU	   
  Thelypodium crispum  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Thelypodium integrifolium  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Thelypodium sagittatum  	   	 FACW	   	   	 FACU	   	   	   	 FACW	   
  Thelypodium stenopetalum  	   	 FAC	   	   	   	   	   	   	   	   
  Thelypteris angustifolia  	   	   	 OBL	   	   	   	   	   	   	   
  Thelypteris balbisii  	   	   	 FAC	   	   	   	   	   	   	   
  Thelypteris decussata  	   	   	 FACW	   	   	   	   	   	   	   
  Thelypteris deltoidea  	   	   	 FAC	   	   	   	   	   	   	   
  Thelypteris germaniana  	   	   	 FACW	   	   	   	   	   	   	   
  Thelypteris gretheri  	   	   	   	   	   	 FACU	   	   	   	   
  Thelypteris guamensis  	   	   	   	   	   	 FAC	   	   	   	   
  Thelypteris kunthii  	 FACW	   	 FAC	 FACW	 FAC	   	   	   	   	   
  Thelypteris linkiana  	   	   	 FAC	   	   	   	   	   	   	   
  Thelypteris maemonensis  	   	   	   	   	   	 FAC	   	   	   	   
  Thelypteris namaphila  	   	   	 FACW	   	   	   	   	   	   	   
  Thelypteris opposita  	   	   	 FACW	   	   	   	   	   	   	   
  Thelypteris opulenta  	 FACW	   	   	   	   	 FAC	   	   	   	   
  Thelypteris ovata  	 FACW	 FACW	   	 FACW	 FACW	   	   	   	   	   
  Thelypteris palustris  	 OBL	   	   	 FACW	 OBL	   	 OBL	 FACW	 OBL	   
  Thelypteris patens  	 FACU	   	 FAC	   	   	   	   	   	   	   
  Thelypteris piedrensis  	   	   	 FACU	   	   	   	   	   	   	   
  Thelypteris poiteana  	   	   	 FAC	   	   	   	   	   	   	   
  Thelypteris puberula  	   	 FACW	   	   	   	   	   	   	 OBL	   
  Thelypteris resinifera  	 FACW	   	 FACW	   	   	   	   	   	   	   
  Thelypteris reticulata  	 FACW	   	 FACW	   	   	   	   	   	   	   
  Thelypteris rheophyta  	   	   	 OBL	   	   	   	   	   	   	   
  Thelypteris rudis  	   	   	 FAC	   	   	   	   	   	   	   
  Thelypteris sancta  	 FAC	   	 FAC	   	   	   	   	   	   	   
  Thelypteris sclerophylla  	 UPL	   	 FACU	   	   	   	   	   	   	   
  Thelypteris serrata  	 FACW	   	 OBL	   	   	   	   	   	   	   
  Thelypteris subpubescens  	   	   	   	   	   	 FACW	   	   	   	   
  Thelypteris unita  	   	   	   	   	   	 FACW	   	   	   	   
