order	ocr	taxon	elias	fna	other	mean
489	Waterlocust (G, oquatico) 649	Gleditsia aquatica			30	30
488	Honeylocust {G. triacanthosJ 648	Gleditsia triacanthos	30		45	37.5
284	Loblolly Bay (G. losionthus/ 428	Gordonia lasianthus	20			20
298	Upland Cotton (G. hirsutum}	Gossypium hirsutum			5	5
533	Silk Oak (G. robustoJ 693	Grevillea robusta	20			20
666	Texas Lignumvitae (G. ongustifoliuni}	Guaiacum angustifolium	6			6
665	Holywood Lignumvitae (G. sonclumJ	Guaiacum sanctum	10			10
274	Blolly (G. discolor) 417	Guapira discolor	16			16
712	Everglades Velvetseed {G. elliptica} 890 	Guettarda elliptica	6			6
711	Rllti:Shleaf Velvetseed {G. scabra) 889	Guettarda scabra	10			10
553	. Falsebox (G. lotifoliaJ 717	Gyminda latifolia	8			8
570	 pysterwood (G. JucidoJ 73	Gymnanthes lucida	10			10
491	Kentucky Coffee Tree (G. dioicusJ 651	Gymnocladus dioicus	30			30
383	Carolina Silverbell (H. coro inaJ 543	Halesia carolina	30			30
385	Two-Winged Silverbell (H. diptera) 545	Halesia diptera	10			10
384	Little Silverbell (H. parvijJora} 544	Halesia parviflora	9			9
128	Witch Hazel (H. virginianaJ 227	Hamamelis virginiana	8			8
714	H. palens)	Hamelia patens	5			5
649	Baratta (H. parvifolio) 821	Helietta parvifolia	7			7
297	Rose-of-Sharon (H, syriacusJ	Hibiscus syriacus	8			8
296	Sea Hibiscus (H, tiliaceusJ	Hibiscus tiliaceus	6			6
574	Manchineel (H. moncinello} 738	Hippomane mancinella	12			12
646	Crucifixion Thorn, Holacantha (H. emoryij 817	Holacantha emoryi	4			4
600	White Ironwood (H, trifo/iotoJ 765	Hypelate trifoliata	13			13
566	Carolina Holly (I. ambiguo) 731	Ilex ambigua	6			6
564	Sarvis Holly rt amelonchierJ 730	Ilex amelanchier	5			5
559	Dahoon [I. cassineJ 725	Ilex cassine	8			8
556	' '􀃱i.arge Gallberry (I. corioceaJ 724	Ilex coriacea	8			8
563	􀄭ossum Haw (I, decidua) 729	Ilex decidua	10			10
558	·Tawnyberry Holly (l. krugianaJ 725	Ilex krugiana	10			10
562	Smooth Winterberry (I, laevigata} 728	Ilex laevigata	6			6
565	Mountain Winterberry (I. montono) 730	Ilex montana	12			12
557	Myrtle Dahoon (I, myrtifoliaJ 725,	Ilex myrtifolia	8			8
555	American Holly (I. opocaJ 723	Ilex opaca	15			15
561	Common Winterberry (I. verticillato) 727	Ilex verticillata	8			8
560	'Yaupon, Cassina (I, vomitorio) 726	Ilex vomitoria	8			8
113	Florida Anise Tree (I. floridanum) 206	Illicium floridanum	8			8
114	Yellow Anise Tree (I. parviflorum) 207	Illicium parviflorum			7	7
388	Joewood(J, keyensisJ 549	Jacquinia keyensis	6			6
160	California Walnut (J. californica) 270	Juglans californica	10			10
158	Butternut, White Walnut(}. cinerea) 268	Juglans cinerea	30			30
163	Hinds Walnut (J. hindsii) 274	Juglans hindsii	20			20
162	Arizona Walnut (J. major) 273	Juglans major	18			18
161	Texas Black Walnut. Littfe Walnut (J. micracarpa)	Juglans microcarpa	15			15
159	Black Walnut (/. nigra) 269	Juglans nigra	40			40
94	AShe Juniper(/. ashei) 151	Juniperus ashei	12	15		13.5
90	California Juniper(/. californicaJ 147	Juniperus californica	10	8		9
86	Common Juniper(]. communisJ 143	Juniperus communis	7	3		5
87	Alligator Juniper (J. deppeonoJ 144	Juniperus deppeana	15	15		15
89	Mexican Drooping Juniper(/. floccido) 146	Juniperus flaccida	10	12		11
93	One-Seed Juniper, Cherrystone Junipe r (f. monasperma)	Juniperus monosperma	12	7		9.5
92	Western Juniper, Sierra Juniper(/, occidentolis)	Juniperus occidentalis	10	20		15
91	Utah Juniper(/. osteosperma) 148	Juniperus osteosperma	8	6		7
88	Pinchot Juniper, Red-berry J uniper(/. pin·	Juniperus pinchotii	7	6		6.5
95	Rocky Mountain Juniper(!. scopulorum) 152	Juniperus scopulorum	15	20		17.5
97	Southern Redcedar (J. silicicala) 155	Juniperus silicicola	15	10		12.5
96	Eastern Redcedar (J. virginiona) 154	Juniperus virginiana	20	30		25
363	MoUntaiil Laurel(K. latifolia) 516	Kalmia latifolia	9			9
355	Allthorn(K, spinosaJ 505	Koeberlinia spinosa	4			4
594	Goldenrain Tree {K. paniculotaJ 760	Koelreuteria paniculata	15			15
591	Leadwood {K. ferreum) 755	Krugiodendron ferreum	9			9
513	Crape Myrtle (L. indica} 672	Lagerstroemia indica	7			7
530	White Mangrove {L. racem,osa) 689	Laguncularia racemosa	18			18
41	European Larch, Common Larch (L.	Larix decidua			21	21
40	Tamarack (L. laricinoJ 77	Larix laricina	25	20		22.5
43	Subalpine Larch (L. lya/JiiJ 80	Larix lyallii		25		25
42	Western Larch (L. occidenlolisJ 78	Larix occidentalis	55	50		52.5
157	Corkwood {L. f/oridonoJ	Leitneria floridana	8			8
484	Leadtree{L. JeucocepholoJ 643·	Leucaena leucocephala	10			10
485		Leucaena pulverulenta	15			15
483	Littleleaf Leadtree (L. retusaJ 642	Leucaena retusa	8			8
116	Gulf Licaria (L. triandroJ 211	Licaria triandra			9	9
679	California Privet (L. ovalifolium) 856	Ligustrum ovalifolium	5			5
127	Sweetgum (L, styraciflua) 225	Liquidambar styraciflua	40			40
108	Tulip Tree, Yellow Poplar {L. tu/ipiferoJ 197	Liriodendron tulipifera	50			50
187	Tanoak (L. densijlorusJ 309	Lithocarpus densiflorus	30			30
362	Tree Lyonia, Staggerbush {L. ferruginea	Lyonia ferruginea	9			9
